llm_model,pc_id,prompt,diagnosis,rank,sctid,is_correct
MetaAI_llama-2-70b-f,3615,base_personalization_common_selfconsistent_fewshot,Pneumonia,1,233604007,False
MetaAI_llama-2-70b-f,3615,base_personalization_common_selfconsistent_fewshot,Asthma,2,195967001,False
MetaAI_llama-2-70b-f,3615,base_personalization_common_selfconsistent_fewshot,Pulmonary embolism,3,59282003,False
MetaAI_llama-2-70b-f,3615,base_personalization_common_selfconsistent_fewshot,Pneumothorax,4,36118008,False
MetaAI_llama-2-70b-f,3615,base_personalization_common_selfconsistent_fewshot,Costochondritis,5,64109004,False
MetaAI_llama-2-70b-f,3615,base_personalization_sct_fewshot,Pneumonia,1,233604007,False
MetaAI_llama-2-70b-f,3615,base_personalization_sct_fewshot,Asthma,2,195967001,False
MetaAI_llama-2-70b-f,3615,base_personalization_sct_fewshot,Acute bronchitis,3,10509002,False
MetaAI_llama-2-70b-f,3615,base_personalization_sct_fewshot,Pulmonary embolism,4,59282003,False
MetaAI_llama-2-70b-f,3615,base_personalization_sct_fewshot,Angina pectoris,5,194828000,False
MetaAI_llama-2-70b-f,3615,base_personalization_common_fewshot,Pneumonia,1,233604007,False
MetaAI_llama-2-70b-f,3615,base_personalization_common_fewshot,Asthma,2,195967001,False
MetaAI_llama-2-70b-f,3615,base_personalization_common_fewshot,Pulmonary embolism,3,59282003,False
MetaAI_llama-2-70b-f,3615,base_personalization_common_fewshot,Costochondritis,4,64109004,False
MetaAI_llama-2-70b-f,3615,base_personalization_common_fewshot,Esophageal spasm,5,79962008,False
MetaAI_llama-2-70b-f,3615,base_sct_fewshot,Pneumonia,1,233604007,False
MetaAI_llama-2-70b-f,3615,base_sct_fewshot,Pneumothorax,2,36118008,False
MetaAI_llama-2-70b-f,3615,base_sct_fewshot,Acute bronchitis,3,10509002,False
MetaAI_llama-2-70b-f,3615,base_sct_fewshot,Asthma,4,195967001,False
MetaAI_llama-2-70b-f,3615,base_sct_fewshot,Pulmonary embolism,5,59282003,False
MetaAI_llama-2-70b-f,3615,base_common_fewshot,Pneumonia,1,233604007,False
MetaAI_llama-2-70b-f,3615,base_common_fewshot,case description:,2,413769002,False
MetaAI_llama-2-70b-f,3615,base_common_fewshot,28 year Male presents with Headache.,3,102523004,False
MetaAI_llama-2-70b-f,3615,base_common_fewshot,Symptom,4,162470006,False
MetaAI_llama-2-70b-f,3615,base_common_fewshot,Medical History: History of migraines,5,161481007,False
MetaAI_llama-2-70b-f,3615,base_common_selfconsistent,Pneumonia,1,233604007,False
MetaAI_llama-2-70b-f,3615,base_common_selfconsistent,Acute bronchitis,2,10509002,False
MetaAI_llama-2-70b-f,3615,base_common_selfconsistent,Asthma,3,195967001,False
MetaAI_llama-2-70b-f,3615,base_common_selfconsistent,Pulmonary embolism,4,59282003,False
MetaAI_llama-2-70b-f,3615,base_common_selfconsistent,Costochondritis,5,64109004,False
MetaAI_llama-2-70b-f,3615,base_sct_selfconsistent,Pneumonia,1,233604007,False
MetaAI_llama-2-70b-f,3615,base_sct_selfconsistent,Asthma,2,195967001,False
MetaAI_llama-2-70b-f,3615,base_sct_selfconsistent,Pulmonary embolism,3,59282003,False
MetaAI_llama-2-70b-f,3615,base_sct_selfconsistent,Pneumothorax,4,36118008,False
MetaAI_llama-2-70b-f,3615,base_sct_selfconsistent,Costochondritis,5,64109004,False
MetaAI_llama-2-70b-f,3615,base_sct_selfconsistent_fewshot,Pneumonia,1,233604007,False
MetaAI_llama-2-70b-f,3615,base_sct_selfconsistent_fewshot,Asthma,2,195967001,False
MetaAI_llama-2-70b-f,3615,base_sct_selfconsistent_fewshot,Acute bronchitis,3,10509002,False
MetaAI_llama-2-70b-f,3615,base_sct_selfconsistent_fewshot,Pulmonary embolism,4,59282003,False
MetaAI_llama-2-70b-f,3615,base_sct_selfconsistent_fewshot,Costochondritis,5,64109004,False
MetaAI_llama-2-70b-f,3615,base_common_selfconsistent_fewshot,Pneumonia,1,233604007,False
MetaAI_llama-2-70b-f,3615,base_common_selfconsistent_fewshot,Asthma,2,195967001,False
MetaAI_llama-2-70b-f,3615,base_common_selfconsistent_fewshot,Pulmonary embolism,3,59282003,False
MetaAI_llama-2-70b-f,3615,base_common_selfconsistent_fewshot,Pneumothorax,4,36118008,False
MetaAI_llama-2-70b-f,3615,base_common_selfconsistent_fewshot,Costochondritis,5,64109004,False
MistralAI_mistral-large-latest,3615,base_common,Pneumonia,1,233604007,False
MistralAI_mistral-large-latest,3615,base_common,Bronchitis,2,32398004,False
MistralAI_mistral-large-latest,3615,base_common,Asthma,3,195967001,False
MistralAI_mistral-large-latest,3615,base_common,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_common,Gastroesophageal reflux disease (GERD),5,235595009,False
MistralAI_mistral-large-latest,3615,base_sct,Acute bronchitis,1,10509002,False
MistralAI_mistral-large-latest,3615,base_sct,Pneumonia,2,233604007,False
MistralAI_mistral-large-latest,3615,base_sct,Asthma,3,195967001,False
MistralAI_mistral-large-latest,3615,base_sct,Gastroesophageal reflux disease,4,235595009,False
MistralAI_mistral-large-latest,3615,base_sct,Pulmonary embolism,5,59282003,False
MistralAI_mistral-large-latest,3615,base_personalization_common,Pneumonia,1,233604007,False
MistralAI_mistral-large-latest,3615,base_personalization_common,Bronchitis,2,32398004,False
MistralAI_mistral-large-latest,3615,base_personalization_common,Asthma,3,195967001,False
MistralAI_mistral-large-latest,3615,base_personalization_common,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_personalization_common,Gastroesophageal reflux disease (GERD),5,235595009,False
MistralAI_mistral-large-latest,3615,base_personalization_sct,Acute bronchitis,1,10509002,False
MistralAI_mistral-large-latest,3615,base_personalization_sct,Pneumonia,2,233604007,False
MistralAI_mistral-large-latest,3615,base_personalization_sct,Asthma,3,195967001,False
MistralAI_mistral-large-latest,3615,base_personalization_sct,Gastroesophageal reflux disease,4,235595009,False
MistralAI_mistral-large-latest,3615,base_personalization_sct,Pulmonary embolism,5,59282003,False
MistralAI_mistral-large-latest,3615,base_personalization_common_selfconsistent,Pneumonia,1,233604007,False
MistralAI_mistral-large-latest,3615,base_personalization_common_selfconsistent,Bronchitis,2,32398004,False
MistralAI_mistral-large-latest,3615,base_personalization_common_selfconsistent,Asthma,3,195967001,False
MistralAI_mistral-large-latest,3615,base_personalization_common_selfconsistent,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_personalization_common_selfconsistent,Gastroesophageal reflux disease (GERD),5,235595009,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_selfconsistent,Acute bronchitis,1,10509002,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_selfconsistent,Pneumonia,2,233604007,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_selfconsistent,Asthma,3,195967001,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_selfconsistent,Bronchospasm due to environmental exposure,4,762462005,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_selfconsistent,Viral lower respiratory infection,5,312134000,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_selfconsistent_fewshot,Bronchitis,1,32398004,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_selfconsistent_fewshot,Asthma,2,195967001,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_selfconsistent_fewshot,Pneumonia,3,233604007,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_selfconsistent_fewshot,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_selfconsistent_fewshot,Gastroesophageal reflux disease (GERD),5,235595009,False
MistralAI_mistral-large-latest,3615,base_personalization_common_selfconsistent_fewshot,Bronchitis,1,32398004,False
MistralAI_mistral-large-latest,3615,base_personalization_common_selfconsistent_fewshot,Asthma,2,195967001,False
MistralAI_mistral-large-latest,3615,base_personalization_common_selfconsistent_fewshot,Pneumonia,3,233604007,False
MistralAI_mistral-large-latest,3615,base_personalization_common_selfconsistent_fewshot,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_personalization_common_selfconsistent_fewshot,Gastroesophageal reflux disease (GERD),5,235595009,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_fewshot,Bronchitis,1,32398004,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_fewshot,Asthma,2,195967001,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_fewshot,Pneumonia,3,233604007,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_fewshot,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_personalization_sct_fewshot,Gastroesophageal reflux disease,5,235595009,False
MistralAI_mistral-large-latest,3615,base_personalization_common_fewshot,Bronchitis,1,32398004,False
MistralAI_mistral-large-latest,3615,base_personalization_common_fewshot,Asthma,2,195967001,False
MistralAI_mistral-large-latest,3615,base_personalization_common_fewshot,Pneumonia,3,233604007,False
MistralAI_mistral-large-latest,3615,base_personalization_common_fewshot,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_personalization_common_fewshot,Gastroesophageal reflux disease (GERD),5,235595009,False
MistralAI_mistral-large-latest,3615,base_sct_fewshot,Asthma,1,195967001,False
MistralAI_mistral-large-latest,3615,base_sct_fewshot,Bronchitis,2,32398004,False
MistralAI_mistral-large-latest,3615,base_sct_fewshot,Pneumonia,3,233604007,False
MistralAI_mistral-large-latest,3615,base_sct_fewshot,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_sct_fewshot,Gastroesophageal reflux disease (GERD),5,235595009,False
MistralAI_mistral-large-latest,3615,base_common_fewshot,Bronchitis,1,32398004,False
MistralAI_mistral-large-latest,3615,base_common_fewshot,Asthma,2,195967001,False
MistralAI_mistral-large-latest,3615,base_common_fewshot,Pneumonia,3,233604007,False
MistralAI_mistral-large-latest,3615,base_common_fewshot,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_common_fewshot,Gastroesophageal reflux disease (GERD),5,235595009,False
MistralAI_mistral-large-latest,3615,base_common_selfconsistent,Pneumonia,1,233604007,False
MistralAI_mistral-large-latest,3615,base_common_selfconsistent,Bronchitis,2,32398004,False
MistralAI_mistral-large-latest,3615,base_common_selfconsistent,Asthma,3,195967001,False
MistralAI_mistral-large-latest,3615,base_common_selfconsistent,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_common_selfconsistent,Gastroesophageal reflux disease (GERD),5,235595009,False
MistralAI_mistral-large-latest,3615,base_sct_selfconsistent,Bronchitis,1,32398004,False
MistralAI_mistral-large-latest,3615,base_sct_selfconsistent,Pneumonia,2,233604007,False
MistralAI_mistral-large-latest,3615,base_sct_selfconsistent,Asthma,3,195967001,False
MistralAI_mistral-large-latest,3615,base_sct_selfconsistent,Gastroesophageal reflux disease,4,235595009,False
MistralAI_mistral-large-latest,3615,base_sct_selfconsistent,Pulmonary embolism,5,59282003,False
MistralAI_mistral-large-latest,3615,base_sct_selfconsistent_fewshot,Asthma,1,195967001,False
MistralAI_mistral-large-latest,3615,base_sct_selfconsistent_fewshot,Bronchitis,2,32398004,False
MistralAI_mistral-large-latest,3615,base_sct_selfconsistent_fewshot,Pneumonia,3,233604007,False
MistralAI_mistral-large-latest,3615,base_sct_selfconsistent_fewshot,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_sct_selfconsistent_fewshot,Gastroesophageal reflux disease (GERD),5,235595009,False
MistralAI_mistral-large-latest,3615,base_common_selfconsistent_fewshot,Bronchitis,1,32398004,False
MistralAI_mistral-large-latest,3615,base_common_selfconsistent_fewshot,Asthma,2,195967001,False
MistralAI_mistral-large-latest,3615,base_common_selfconsistent_fewshot,Pneumonia,3,233604007,False
MistralAI_mistral-large-latest,3615,base_common_selfconsistent_fewshot,Pulmonary embolism,4,59282003,False
MistralAI_mistral-large-latest,3615,base_common_selfconsistent_fewshot,Environmental allergy induced bronchospasm,5,426232007,False
